class	parent	getter_fn	dump_line
Action	CNomadObject	FUN_108d9820	1419012
ActionData	<root>	FUN_108d7a30	1417087
AvatarAMPSuit	CVehicleBase	FUN_104c9990	830444
AvatarActionOvertimeComponent	CEntityComponent	FUN_108ef360	1433986
AvatarCharacterSheet	CCharacterSheet	FUN_104cc680	832331
AvatarCharacterSheet_AMPSuit	AvatarCharacterSheet_Vehicle	FUN_104cca10	832507
AvatarCharacterSheet_Animal	AvatarCharacterSheet_NPC	FUN_104cc740	832395
AvatarCharacterSheet_AnimalMount	AvatarCharacterSheet_Vehicle	FUN_104cc800	832459
AvatarCharacterSheet_Destructable	AvatarCharacterSheet	FUN_104cc770	832411
AvatarCharacterSheet_FlyingAnimalMount	AvatarCharacterSheet_Vehicle	FUN_104cc830	832475
AvatarCharacterSheet_Humanoid	AvatarCharacterSheet_NPC	FUN_104cc710	832379
AvatarCharacterSheet_NPC	AvatarCharacterSheet	FUN_104cc6e0	832363
AvatarCharacterSheet_Plant	AvatarCharacterSheet_NPC	FUN_104cc860	832491
AvatarCharacterSheet_Player	AvatarCharacterSheet	FUN_104cc6b0	832347
AvatarCharacterSheet_Repairable	AvatarCharacterSheet	FUN_104cc7a0	832427
AvatarCharacterSheet_Vehicle	AvatarCharacterSheet	FUN_104cc7d0	832443
AvatarDepleteVitalityEvent	CEntityEvent	FUN_1050e9d0	873239
AvatarEntityListComponent	CEntityComponent	FUN_104ca110	830764
AvatarFilterComponent	CEntityComponent	FUN_104ca0e0	830748
AvatarGatherComponent	CEntityComponent	FUN_104ca260	830828
AvatarInteractiveComponent	CEntityComponent	FUN_108ef300	1433970
AvatarLootComponent	AvatarPickupComponent	FUN_104ca1d0	830812
AvatarMutliVarsManager	CSingletonEntity	FUN_101a7230	293181
AvatarPODComponent	CGameObject	FUN_108ef420	1434002
AvatarPawn	CEntityComponent	FUN_104c9650	830346
AvatarPawn_Humanoid	AvatarPawn	FUN_104c9710	830394
AvatarPawn_Player	AvatarPawn	FUN_104c96e0	830378
AvatarPickupComponent	CEntityComponent	FUN_104ca1a0	830796
AvatarPlayerCheckpointComponent	CEntityComponent	FUN_104ca080	830716
AvatarRefillAmmoEvent	CEntityEvent	FUN_1051c330	881153
AvatarRefillHealthManaEvent	CEntityEvent	FUN_1050e960	873202
AvatarRelayComponent	CEntityComponent	FUN_104ca170	830780
AvatarScannableComponent	CEntityComponent	FUN_104ca290	830844
AvatarShowTutorialEvent	CEntityEvent	FUN_104f02a0	854540
AvatarTriggerableComponent	CEntityComponent	FUN_104ca0b0	830732
AvatarVisibilityComponent	CEntityComponent	FUN_104ca2f0	830860
BTZWeapon	CFCXWeapon	FUN_104ca560	830956
BrainBtzAnimal	CBrain	FUN_10984340	1507297
BrainDirehorse	BrainBtzAnimal	FUN_10984540	1507425
BrainHexapede	BrainBtzAnimal	FUN_10984420	1507329
BrainStingbat	BrainBtzAnimal	FUN_10984480	1507361
BrainSturmbeest	BrainBtzAnimal	FUN_109844b0	1507377
BrainTapirus	BrainBtzAnimal	FUN_10984450	1507345
BrainThanator	BrainBtzAnimal	FUN_10984510	1507409
BuildSecondaryBase	TerritoryManagement	FUN_108e5a20	1427663
BuyTroops	Action	FUN_108d9850	1419028
BuyTroopsData	ActionData	FUN_108d9880	1419044
CAABBPartitionManager	CSingletonEntity	FUN_101a6e30	292883
CAIBuilding	CGameAIObject	FUN_10980620	1502081
CAIComponent	CEntityComponent	FUN_1003dd60	42561
CAIEvent	<root>	FUN_109a3ee0	1526982
CAIInfoManager	CSingletonEntity	FUN_1097f0f0	1501314
CAIMountedWeapon	CDynamicGameAIObject	FUN_109805f0	1502065
CAIObject	CAIObjectRoot	FUN_104a18c0	803063
CAIObjectRoot	CNomadObject	FUN_104a1890	803047
CAIShootMeEvent	CEntityEvent	FUN_104f7c70	859181
CAIShootMeObject	CEntityComponent	FUN_104c9350	830218
CAIStateComponent	CEntityComponent	FUN_101a6800	292443
CAIWorkspaceResource	CResourceContainer	FUN_104a1830	803015
CAIWorld	CCollective	FUN_1097dca0	1500841
CAMPSuitAction	CAgentAction	FUN_10984660	1507521
CAMPSuitAgent	CGameAgent	FUN_1097f4f0	1501520
CAMPSuitBeautifier	CEntityComponent	FUN_104c9db0	830572
CAMPSuitCanAcceptUserEvent	CBaseEvent	FUN_10550b30	910103
